captured_at,kl_round_props_refreshed_at,projections_updated_at,event_name,course_used,display_round,round_num,dg_id,player_name,market,kl_line,over_odds,under_odds,p_over_implied,p_under_implied,odds_method,model_total_score,model_birdies,model_pars,model_bogeys,model_gir,model_fairways,model_putts
2026-08-06T00:44:33Z,2026-08-06T00:44:14Z,2026-08-06T00:44:14Z,Wyndham Championship,Sedgefield Country Club,1,1,11676,"Finau, Tony",Total Score,69.5,174,-174,0.36496350364963503,0.635036496350365,,68.85,3.83,10.94,2.9,12.91,8.05,29.11
2026-08-06T00:44:33Z,2026-08-06T00:44:14Z,2026-08-06T00:44:14Z,Wyndham Championship,Sedgefield Country Club,1,1,23014,"Theegala, Sahith",Total Score,69.5,174,-174,0.36496350364963503,0.635036496350365,,67.73,3.93,10.84,2.82,13.6,8.24,28.58
2026-08-06T00:44:33Z,2026-08-06T00:44:14Z,2026-08-06T00:44:14Z,Wyndham Championship,Sedgefield Country Club,1,1,29767,"Gerard, Ryan",Total Score,67.5,-120,120,0.5454545454545454,0.45454545454545453,,67.42,4.06,10.79,2.77,14.08,8.83,27.7
2026-08-06T00:44:33Z,2026-08-06T00:44:14Z,2026-08-06T00:44:14Z,Wyndham Championship,Sedgefield Country Club,1,1,18634,"McNealy, Maverick",Total Score,68.5,135,-135,0.425531914893617,0.574468085106383,,67.81,4.24,10.59,2.74,13.33,8.36,27.42
2026-08-06T00:44:33Z,2026-08-06T00:44:14Z,2026-08-06T00:44:14Z,Wyndham Championship,Sedgefield Country Club,1,1,29197,"Brennan, Michael",Total Score,68.5,115,-115,0.46511627906976744,0.5348837209302325,,68.04,4.13,10.64,2.76,13.79,8.44,28.82
2026-08-06T00:44:33Z,2026-08-06T00:44:14Z,2026-08-06T00:44:14Z,Wyndham Championship,Sedgefield Country Club,1,1,13872,"Bradley, Keegan",Total Score,67.5,-138,138,0.5798319327731093,0.42016806722689076,,67.74,4.01,10.88,2.75,14.23,8.45,28.6
2026-08-06T00:44:33Z,2026-08-06T00:44:14Z,2026-08-06T00:44:14Z,Wyndham Championship,Sedgefield Country Club,1,1,14139,"Thomas, Justin",Total Score,67.5,-115,115,0.5348837209302325,0.46511627906976744,,67.58,4.12,10.85,2.75,13.66,7.8,28
2026-08-06T00:44:33Z,2026-08-06T00:44:14Z,2026-08-06T00:44:14Z,Wyndham Championship,Sedgefield Country Club,1,1,29279,"Suber, Jackson",Total Score,67.5,-208,208,0.6753246753246753,0.3246753246753247,,67.81,4.17,10.74,2.64,13.62,8.38,28.78
2026-08-06T00:44:33Z,2026-08-06T00:44:14Z,2026-08-06T00:44:14Z,Wyndham Championship,Sedgefield Country Club,1,1,14636,"Spieth, Jordan",Total Score,68.5,111,-111,0.47393364928909953,0.5260663507109005,,68.51,4.17,10.66,2.77,13.4,8.42,28.62
2026-08-06T00:44:33Z,2026-08-06T00:44:14Z,2026-08-06T00:44:14Z,Wyndham Championship,Sedgefield Country Club,1,1,32319,"Koivun, Jackson",Total Score,66.5,-156,156,0.609375,0.390625,,69.3,4.48,10.17,2.94,13.7,8.19,28.69
2026-08-06T00:44:33Z,2026-08-06T00:44:14Z,2026-08-06T00:44:14Z,Wyndham Championship,Sedgefield Country Club,1,1,13562,"Matsuyama, Hideki",Total Score,67.5,-122,122,0.5495495495495496,0.45045045045045046,,67.22,4.36,10.58,2.74,14.4,8.62,28.19
2026-08-06T00:44:33Z,2026-08-06T00:44:14Z,2026-08-06T00:44:14Z,Wyndham Championship,Sedgefield Country Club,1,1,15310,"Li, Haotong",Total Score,69.5,-186,186,0.6503496503496503,0.34965034965034963,,68.94,4.1,10.52,2.92,13.17,8.35,29.06
2026-08-06T00:44:33Z,2026-08-06T00:44:14Z,2026-08-06T00:44:14Z,Wyndham Championship,Sedgefield Country Club,1,1,26651,"Young, Cameron",Total Score,66.5,-138,138,0.5798319327731093,0.42016806722689076,,66.2,4.93,10.44,2.35,14.32,9.47,28.19
2026-08-06T00:44:33Z,2026-08-06T00:44:14Z,2026-08-06T00:44:14Z,Wyndham Championship,Sedgefield Country Club,1,1,16243,"Koepka, Brooks",Total Score,67.5,-199,199,0.6655518394648829,0.33444816053511706,,68.31,4.1,10.73,2.71,13.66,8.32,28.96
2026-08-06T00:44:33Z,2026-08-06T00:44:14Z,2026-08-06T00:44:14Z,Wyndham Championship,Sedgefield Country Club,1,1,29827,"James, Ben",Total Score,68.5,-111,111,0.5260663507109005,0.47393364928909953,,68.64,3.99,10.74,2.81,13.14,8.43,28.79
2026-08-06T00:44:33Z,2026-08-06T00:44:14Z,2026-08-06T00:44:14Z,Wyndham Championship,Sedgefield Country Club,1,1,24968,"Griffin, Ben",Total Score,67.5,-100,-100,0.5,0.5,,66.99,4.34,10.83,2.53,14.47,8.46,27.52
2026-08-06T00:44:33Z,2026-08-06T00:44:14Z,2026-08-06T00:44:14Z,Wyndham Championship,Sedgefield Country Club,1,1,32152,"Brown, Blades",Total Score,67.5,-133,133,0.5708154506437768,0.4291845493562232,,68.69,4.17,10.73,2.66,13.32,8.41,28.76
2026-08-06T00:44:33Z,2026-08-06T00:44:14Z,2026-08-06T00:44:14Z,Wyndham Championship,Sedgefield Country Club,1,1,18554,"Rai, Aaron",Total Score,67.5,-135,135,0.574468085106383,0.425531914893617,,67.79,4.17,10.83,2.64,14.16,9.38,28.92
2026-08-06T00:44:33Z,2026-08-06T00:44:14Z,2026-08-06T00:44:14Z,Wyndham Championship,Sedgefield Country Club,1,1,25362,"Fitzpatrick, Alex",Total Score,68.5,138,-138,0.42016806722689076,0.5798319327731093,,67.39,4.05,10.99,2.57,13.95,8.91,28.99
2026-08-06T00:45:28Z,2026-08-06T00:44:14Z,2026-08-06T00:45:09Z,Wyndham Championship,Sedgefield Country Club,1,1,24766,"Kim, Tom",Total Score,67.5,-141,141,0.5850622406639004,0.4149377593360996,,67.7,4.7,10.56,2.4,14.18,8.71,28.9
2026-08-06T00:45:28Z,2026-08-06T00:44:14Z,2026-08-06T00:45:09Z,Wyndham Championship,Sedgefield Country Club,1,1,11676,"Finau, Tony",Total Score,69.5,174,-174,0.36496350364963503,0.635036496350365,,69.51,3.84,10.94,2.89,13.15,8.05,29.4
2026-08-06T00:45:28Z,2026-08-06T00:44:14Z,2026-08-06T00:45:09Z,Wyndham Championship,Sedgefield Country Club,1,1,23014,"Theegala, Sahith",Total Score,69.5,174,-174,0.36496350364963503,0.635036496350365,,69,3.92,10.84,2.83,13.72,8.24,29
2026-08-06T00:45:28Z,2026-08-06T00:44:14Z,2026-08-06T00:45:09Z,Wyndham Championship,Sedgefield Country Club,1,1,29767,"Gerard, Ryan",Total Score,67.5,-120,120,0.5454545454545454,0.45454545454545453,,68.27,4.05,10.79,2.78,14.2,8.84,28.1
2026-08-06T00:45:28Z,2026-08-06T00:44:14Z,2026-08-06T00:45:09Z,Wyndham Championship,Sedgefield Country Club,1,1,18634,"McNealy, Maverick",Total Score,68.5,135,-135,0.425531914893617,0.574468085106383,,68.42,4.25,10.59,2.73,13.57,8.37,27.7
2026-08-06T00:45:28Z,2026-08-06T00:44:14Z,2026-08-06T00:45:09Z,Wyndham Championship,Sedgefield Country Club,1,1,29197,"Brennan, Michael",Total Score,68.5,115,-115,0.46511627906976744,0.5348837209302325,,69.02,4.14,10.64,2.75,14.03,8.44,29.1
2026-08-06T00:45:28Z,2026-08-06T00:44:14Z,2026-08-06T00:45:09Z,Wyndham Championship,Sedgefield Country Club,1,1,13872,"Bradley, Keegan",Total Score,67.5,-138,138,0.5798319327731093,0.42016806722689076,,68.35,4.02,10.88,2.74,14.47,8.46,28.8
2026-08-06T00:45:28Z,2026-08-06T00:44:14Z,2026-08-06T00:45:09Z,Wyndham Championship,Sedgefield Country Club,1,1,14139,"Thomas, Justin",Total Score,67.5,-115,115,0.5348837209302325,0.46511627906976744,,68.18,4.13,10.85,2.74,13.9,7.8,28.2
2026-08-06T00:45:28Z,2026-08-06T00:44:14Z,2026-08-06T00:45:09Z,Wyndham Championship,Sedgefield Country Club,1,1,29279,"Suber, Jackson",Total Score,67.5,-208,208,0.6753246753246753,0.3246753246753247,,68.88,4.18,10.74,2.63,13.82,8.38,29.2
2026-08-06T00:45:28Z,2026-08-06T00:44:14Z,2026-08-06T00:45:09Z,Wyndham Championship,Sedgefield Country Club,1,1,14636,"Spieth, Jordan",Total Score,68.5,111,-111,0.47393364928909953,0.5260663507109005,,69.45,4.16,10.66,2.78,13.52,8.42,29.1
2026-08-06T00:45:28Z,2026-08-06T00:44:14Z,2026-08-06T00:45:09Z,Wyndham Championship,Sedgefield Country Club,1,1,32319,"Koivun, Jackson",Total Score,66.5,-156,156,0.609375,0.390625,,70.31,4.47,10.17,2.95,13.82,8.14,29.1
2026-08-06T00:45:28Z,2026-08-06T00:44:14Z,2026-08-06T00:45:09Z,Wyndham Championship,Sedgefield Country Club,1,1,13562,"Matsuyama, Hideki",Total Score,67.5,-122,122,0.5495495495495496,0.45045045045045046,,68.06,4.35,10.58,2.75,14.52,8.63,28.6
2026-08-06T00:45:28Z,2026-08-06T00:44:14Z,2026-08-06T00:45:09Z,Wyndham Championship,Sedgefield Country Club,1,1,15310,"Li, Haotong",Total Score,69.5,-186,186,0.6503496503496503,0.34965034965034963,,70.29,4.09,10.52,2.93,13.29,8.35,29.5
2026-08-06T00:45:28Z,2026-08-06T00:44:14Z,2026-08-06T00:45:09Z,Wyndham Championship,Sedgefield Country Club,1,1,26651,"Young, Cameron",Total Score,66.5,-138,138,0.5798319327731093,0.42016806722689076,,66.71,4.94,10.44,2.34,14.56,9.47,28.4
2026-08-06T00:45:28Z,2026-08-06T00:44:14Z,2026-08-06T00:45:09Z,Wyndham Championship,Sedgefield Country Club,1,1,16243,"Koepka, Brooks",Total Score,67.5,-199,199,0.6655518394648829,0.33444816053511706,,69.32,4.11,10.73,2.7,13.9,8.32,29.2
2026-08-06T00:45:28Z,2026-08-06T00:44:14Z,2026-08-06T00:45:09Z,Wyndham Championship,Sedgefield Country Club,1,1,29827,"James, Ben",Total Score,68.5,-111,111,0.5260663507109005,0.47393364928909953,,69.97,3.98,10.74,2.82,13.26,8.42,29.2
