captured_at,pp_round_props_refreshed_at,projections_updated_at,event_name,course_used,display_round,round_num,dg_id,player_name,market,pp_line,over_odds,under_odds,p_over_implied,p_under_implied,pp_odds_method,model_total_score,model_birdies,model_pars,model_bogeys,model_gir,model_fairways,model_putts
2026-07-09T05:07:25Z,2026-07-08T15:56:57Z,2026-07-09T03:33:48Z,Genesis Scottish Open,The Renaissance Club,1,1,23604,"Clark, Wyndham",Total Score,68.5,-136,-136,0.576271186440678,0.576271186440678,prizepicks_fixed,67.89,4.19,10.46,2.92,12.88,7.97,28.2
2026-07-09T05:07:25Z,2026-07-08T15:56:57Z,2026-07-09T03:33:48Z,Genesis Scottish Open,The Renaissance Club,1,1,18841,"Hovland, Viktor",Pars,11,-136,-136,0.576271186440678,0.576271186440678,prizepicks_fixed,68.41,4.12,10.27,3.12,13.01,9.15,29.1
2026-07-09T05:07:25Z,2026-07-08T15:56:57Z,2026-07-09T03:33:48Z,Genesis Scottish Open,The Renaissance Club,1,1,23604,"Clark, Wyndham",Pars,11,-136,-136,0.576271186440678,0.576271186440678,prizepicks_fixed,67.89,4.19,10.46,2.92,12.88,7.97,28.2
2026-07-09T05:07:25Z,2026-07-08T15:56:57Z,2026-07-09T03:33:48Z,Genesis Scottish Open,The Renaissance Club,1,1,18841,"Hovland, Viktor",Bogeys,2.5,-136,-136,0.576271186440678,0.576271186440678,prizepicks_fixed,68.41,4.12,10.27,3.12,13.01,9.15,29.1
2026-07-09T05:07:25Z,2026-07-08T15:56:57Z,2026-07-09T03:33:48Z,Genesis Scottish Open,The Renaissance Club,1,1,23604,"Clark, Wyndham",Bogeys,2.5,-136,-136,0.576271186440678,0.576271186440678,prizepicks_fixed,67.89,4.19,10.46,2.92,12.88,7.97,28.2
2026-07-09T05:07:25Z,2026-07-08T15:56:57Z,2026-07-09T03:33:48Z,Genesis Scottish Open,The Renaissance Club,1,1,14796,"Hatton, Tyrrell",Birdies,4,-136,-136,0.576271186440678,0.576271186440678,prizepicks_fixed,68.58,4.13,10.21,3.16,13.05,8.21,29.3
2026-07-09T05:07:25Z,2026-07-08T15:56:57Z,2026-07-09T03:33:48Z,Genesis Scottish Open,The Renaissance Club,1,1,10419,"Noren, Alex",Total Score,69.5,-136,-136,0.576271186440678,0.576271186440678,prizepicks_fixed,69.13,3.86,10.33,3.49,11.65,9.1,28.7
2026-07-09T05:07:25Z,2026-07-08T15:56:57Z,2026-07-09T03:33:48Z,Genesis Scottish Open,The Renaissance Club,1,1,20085,"Lindell, Oliver",Total Score,69.5,-136,-136,0.576271186440678,0.576271186440678,prizepicks_fixed,69.59,3.7,10.32,3.63,12.21,8.28,29.1
2026-07-09T05:07:25Z,2026-07-08T15:56:57Z,2026-07-09T03:33:48Z,Genesis Scottish Open,The Renaissance Club,1,1,14796,"Hatton, Tyrrell",Total Score,68.5,-136,-136,0.576271186440678,0.576271186440678,prizepicks_fixed,68.58,4.13,10.21,3.16,13.05,8.21,29.3
2026-07-09T05:07:25Z,2026-07-08T15:56:57Z,2026-07-09T03:33:48Z,Genesis Scottish Open,The Renaissance Club,1,1,10419,"Noren, Alex",Pars,11.5,-136,-136,0.576271186440678,0.576271186440678,prizepicks_fixed,69.13,3.86,10.33,3.49,11.65,9.1,28.7
