captured_at,sl_round_props_refreshed_at,projections_updated_at,event_name,course_used,display_round,round_num,dg_id,player_name,market,sl_line,over_odds,under_odds,p_over_implied,p_under_implied,odds_method,model_total_score,model_birdies,model_pars,model_bogeys,model_gir,model_fairways,model_putts
2026-07-28T20:38:57Z,2026-07-28T20:38:47Z,2026-07-28T20:38:47Z,Rocket Classic,Detroit Golf Club North Course,1,1,24968,"Griffin, Ben",Total Score,68.5,-159,-104,0.6138996138996139,0.5098039215686274,sleeper_multiplier,67.55,3.68,11.45,2.55,10.89,9.77,27.63
2026-07-28T20:38:57Z,2026-07-28T20:38:47Z,2026-07-28T20:38:47Z,Rocket Classic,Detroit Golf Club North Course,1,1,19895,"Schauffele, Xander",Birdies,3.5,-189,110,0.6539792387543253,0.47619047619047616,sleeper_multiplier,67.39,3.75,11.48,2.5,10.89,11.23,28.32
2026-07-28T20:38:57Z,2026-07-28T20:38:47Z,2026-07-28T20:38:47Z,Rocket Classic,Detroit Golf Club North Course,1,1,19895,"Schauffele, Xander",Bogeys,2.5,110,-189,0.47619047619047616,0.6539792387543253,sleeper_multiplier,67.39,3.75,11.48,2.5,10.89,11.23,28.32
2026-07-28T20:38:57Z,2026-07-28T20:38:47Z,2026-07-28T20:38:47Z,Rocket Classic,Detroit Golf Club North Course,1,1,19895,"Schauffele, Xander",Total Score,68.5,-125,-132,0.5555555555555556,0.5689655172413793,sleeper_multiplier,67.39,3.75,11.48,2.5,10.89,11.23,28.32
2026-07-28T20:38:57Z,2026-07-28T20:38:47Z,2026-07-28T20:38:47Z,Rocket Classic,Detroit Golf Club North Course,1,1,17536,"Spaun, J.J.",Birdies,3.5,-145,-114,0.5918367346938775,0.5327102803738317,sleeper_multiplier,68,3.89,11.13,2.66,10.89,9.11,28.78
2026-07-28T20:38:57Z,2026-07-28T20:38:47Z,2026-07-28T20:38:47Z,Rocket Classic,Detroit Golf Club North Course,1,1,17536,"Spaun, J.J.",Bogeys,2.5,-103,-161,0.5073891625615764,0.6168582375478927,sleeper_multiplier,68,3.89,11.13,2.66,10.89,9.11,28.78
2026-07-28T20:38:57Z,2026-07-28T20:38:47Z,2026-07-28T20:38:47Z,Rocket Classic,Detroit Golf Club North Course,1,1,17536,"Spaun, J.J.",Total Score,68.5,-164,100,0.6212121212121212,0.5,sleeper_multiplier,68,3.89,11.13,2.66,10.89,9.11,28.78
2026-07-28T20:38:57Z,2026-07-28T20:38:47Z,2026-07-28T20:38:47Z,Rocket Classic,Detroit Golf Club North Course,1,1,26651,"Young, Cameron",Birdies,4.5,112,-192,0.4716981132075472,0.6575342465753424,sleeper_multiplier,66.88,4.22,11.11,2.39,10.89,7.29,28.23
2026-07-28T20:38:57Z,2026-07-28T20:38:47Z,2026-07-28T20:38:47Z,Rocket Classic,Detroit Golf Club North Course,1,1,26651,"Young, Cameron",Bogeys,2.5,122,-213,0.45045045045045046,0.6805111821086262,sleeper_multiplier,66.88,4.22,11.11,2.39,10.89,7.29,28.23
2026-07-28T20:38:57Z,2026-07-28T20:38:47Z,2026-07-28T20:38:47Z,Rocket Classic,Detroit Golf Club North Course,1,1,26651,"Young, Cameron",Total Score,68.5,-104,-159,0.5098039215686274,0.6138996138996139,sleeper_multiplier,66.88,4.22,11.11,2.39,10.89,7.29,28.23
2026-07-28T20:38:57Z,2026-07-28T20:38:47Z,2026-07-28T20:38:47Z,Rocket Classic,Detroit Golf Club North Course,1,1,14578,"Henley, Russell",Birdies,3.5,-128,-128,0.5614035087719298,0.5614035087719298,sleeper_multiplier,68.13,3.77,11.3,2.61,10.89,10.04,28.01
2026-07-28T20:38:57Z,2026-07-28T20:38:47Z,2026-07-28T20:38:47Z,Rocket Classic,Detroit Golf Club North Course,1,1,14578,"Henley, Russell",Bogeys,2.5,127,-222,0.44052863436123346,0.6894409937888198,sleeper_multiplier,68.13,3.77,11.3,2.61,10.89,10.04,28.01
2026-07-28T20:38:57Z,2026-07-28T20:38:47Z,2026-07-28T20:38:47Z,Rocket Classic,Detroit Golf Club North Course,1,1,14578,"Henley, Russell",Total Score,68.5,-149,-111,0.5983935742971888,0.5260663507109005,sleeper_multiplier,68.13,3.77,11.3,2.61,10.89,10.04,28.01
2026-07-28T20:38:57Z,2026-07-28T20:38:47Z,2026-07-28T20:38:47Z,Rocket Classic,Detroit Golf Club North Course,1,1,14609,"Kim, Si Woo",Birdies,3.5,-154,-108,0.6062992125984252,0.5192307692307693,sleeper_multiplier,67.36,4.36,10.87,2.47,10.89,9.71,28.28
2026-07-28T20:38:57Z,2026-07-28T20:38:47Z,2026-07-28T20:38:47Z,Rocket Classic,Detroit Golf Club North Course,1,1,14609,"Kim, Si Woo",Bogeys,2.5,123,-217,0.4484304932735426,0.6845425867507886,sleeper_multiplier,67.36,4.36,10.87,2.47,10.89,9.71,28.28
